raw_major_name,normalized,canonical_draft,fuzzy_cluster,n_rows,schools,review
An ninh mạng,an ninh mạng,an-toan-thong-tin,An ninh mạng,4,TLU,
An toàn không gian số* (Chương trình tiên tiến),an toàn không gian số,an-toan-thong-tin,An toàn không gian số* (Chương trình tiên tiến),1,HUST,
An toàn không gian số - Cyber Security (CT Tiên tiến),an toàn không gian số cyber security,an-toan-thong-tin,An toàn không gian số - Cyber security (CT tiên tiến),2,HUST,
An toàn không gian số - Cyber security (CT tiên tiến),an toàn không gian số cyber security,an-toan-thong-tin,An toàn không gian số - Cyber security (CT tiên tiến),2,HUST,
An toàn thông tin,an toàn thông tin,an-toan-thong-tin,An toàn thông tin - Chất lượng cao,9,HaUI;PTIT,
An toàn thông tin - Chất lượng cao,an toàn thông tin,an-toan-thong-tin,An toàn thông tin - Chất lượng cao,1,PTIT,
Công nghệ kỹ thuật máy tính,công nghệ kỹ thuật máy tính,cong-nghe-ky-thuat-may-tinh,Công nghệ kỹ thuật máy tính,7,HaUI,
Công nghệ thông tin,công nghệ thông tin,cong-nghe-thong-tin,Công nghệ thông tin - hợp tác với ĐH Victoria Wellington (NeW Zealand),45,EPU;HANU;HUMG;HaUI;PTIT;TLU;UET;UTC,
"Công nghệ thông tin (Gồm 4 chuyên ngành: Công nghệ phần mềm; Quản trị và an ninh mạng; Hệ thống thương mại điện tử, Trí tuệ nhân tạo và thị giác máy tính)",công nghệ thông tin,cong-nghe-thong-tin,Công nghệ thông tin - hợp tác với ĐH Victoria Wellington (NeW Zealand),2,EPU,
Công nghệ Thông tin (dạy bằng tiếng Anh),công nghệ thông tin,cong-nghe-thong-tin,Công nghệ thông tin - hợp tác với ĐH Victoria Wellington (NeW Zealand),1,HANU,
Công nghệ thông tin (dạy bằng tiếng Anh),công nghệ thông tin,cong-nghe-thong-tin,Công nghệ thông tin - hợp tác với ĐH Victoria Wellington (NeW Zealand),5,HANU,
Công nghệ thông tin (dạy bằng tiếng Anh) - CLC,công nghệ thông tin,cong-nghe-thong-tin,Công nghệ thông tin - hợp tác với ĐH Victoria Wellington (NeW Zealand),4,HANU,
Công nghệ thông tin (dạy bằng tiếng Anh) - CTTT,công nghệ thông tin,cong-nghe-thong-tin,Công nghệ thông tin - hợp tác với ĐH Victoria Wellington (NeW Zealand),1,HANU,
"Công nghệ thông tin (chất lượng
cao)",công nghệ thông tin,cong-nghe-thong-tin,Công nghệ thông tin - hợp tác với ĐH Victoria Wellington (NeW Zealand),1,HUMG,
Công nghệ thông tin CLC,công nghệ thông tin,cong-nghe-thong-tin,Công nghệ thông tin - hợp tác với ĐH Victoria Wellington (NeW Zealand),1,HUMG,
Công nghệ Thông tin (Global ICT),công nghệ thông tin,cong-nghe-thong-tin,Công nghệ thông tin - hợp tác với ĐH Victoria Wellington (NeW Zealand),1,HUST,
Công nghệ Thông tin (Việt – Nhật),công nghệ thông tin,cong-nghe-thong-tin,Công nghệ thông tin - hợp tác với ĐH Victoria Wellington (NeW Zealand),1,HUST,
Công nghệ Thông tin (Việt-Pháp),công nghệ thông tin,cong-nghe-thong-tin,Công nghệ thông tin - hợp tác với ĐH Victoria Wellington (NeW Zealand),1,HUST,
Công nghệ Thông tin Global ICT (CT tiên tiến),công nghệ thông tin,cong-nghe-thong-tin,Công nghệ thông tin - hợp tác với ĐH Victoria Wellington (NeW Zealand),1,HUST,
Công nghệ Thông tin Global ICT (Chương trình tiên tiến),công nghệ thông tin,cong-nghe-thong-tin,Công nghệ thông tin - hợp tác với ĐH Victoria Wellington (NeW Zealand),1,HUST,
Công nghệ Thông tin Việt – Nhật (tăng cường tiếng Nhật),công nghệ thông tin,cong-nghe-thong-tin,Công nghệ thông tin - hợp tác với ĐH Victoria Wellington (NeW Zealand),1,HUST,
Công nghệ Thông tin Việt-Nhật (Chương trình tiên tiến),công nghệ thông tin,cong-nghe-thong-tin,Công nghệ thông tin - hợp tác với ĐH Victoria Wellington (NeW Zealand),1,HUST,
Công nghệ Thông tin Việt-Pháp (Chương trình tiên tiến),công nghệ thông tin,cong-nghe-thong-tin,Công nghệ thông tin - hợp tác với ĐH Victoria Wellington (NeW Zealand),1,HUST,
Công nghệ Thông tin Việt-Pháp (tăng cường tiếng Pháp),công nghệ thông tin,cong-nghe-thong-tin,Công nghệ thông tin - hợp tác với ĐH Victoria Wellington (NeW Zealand),1,HUST,
Công nghệ thông tin (Global ICT),công nghệ thông tin,cong-nghe-thong-tin,Công nghệ thông tin - hợp tác với ĐH Victoria Wellington (NeW Zealand),4,HUST,
Công nghệ thông tin (Việt - Nhật),công nghệ thông tin,cong-nghe-thong-tin,Công nghệ thông tin - hợp tác với ĐH Victoria Wellington (NeW Zealand),5,HUST,
Công nghệ thông tin (Việt - Pháp),công nghệ thông tin,cong-nghe-thong-tin,Công nghệ thông tin - hợp tác với ĐH Victoria Wellington (NeW Zealand),4,HUST,
Công nghệ thông tin - hợp tác với ĐH La Trobe (Úc),công nghệ thông tin,cong-nghe-thong-tin,Công nghệ thông tin - hợp tác với ĐH Victoria Wellington (NeW Zealand),2,HUST,
