school_id,abbr,source_code,name_repr,in_cs_group,review,n_name_variants,years_seen,years_seen_max
455,EPU,7510102,Công nghệ kỹ thuật công trình xây dựng,FALSE,,2,2019,2025
455,EPU,7510201,Công nghệ kỹ thuật cơ khí,FALSE,,2,2019,2025
455,EPU,7510203,Công nghệ kỹ thuật cơ điện tử,FALSE,,2,2019,2025
455,EPU,7510407,Công nghệ kỹ thuật hạt nhân,FALSE,,1,2019,2025
455,EPU,7510406,Công nghệ kỹ thuật môi trường,FALSE,,2,2019,2025
455,EPU,7510403,Công nghệ kỹ thuật năng lượng,FALSE,,2,2019,2025
455,EPU,7510205,Công nghệ kỹ thuật ô tô,FALSE,,1,2025,2025
455,EPU,7510303,Công nghệ kỹ thuật điều khiển và tự động hoá,FALSE,,3,2019,2025
455,EPU,7510303_CLC,Công nghệ kỹ thuật điều khiển và tự động hoá,FALSE,,1,2019,2019
455,EPU,7510302,Công nghệ kỹ thuật điện tử - viễn thông,FALSE,,3,2019,2025
455,EPU,7510302_CLC,Công nghệ kỹ thuật điện tử - viễn thông,FALSE,,1,2019,2019
455,EPU,7510301,"Công nghệ kỹ thuật điện, điện tử",FALSE,,2,2019,2025
455,EPU,7510301_CLC,"Công nghệ kỹ thuật điện, điện tử",FALSE,,1,2019,2019
455,EPU,7480201,Công nghệ thông tin,TRUE,,2,2019,2025
455,EPU,7340205,Công nghệ tài chính,FALSE,,1,2025,2025
455,EPU,7510402,Công nghệ vật liệu,FALSE,,1,2025,2025
455,EPU,7460108,Khoa học dữ liệu,TRUE,,1,2025,2025
455,EPU,7340302,Kiểm toán,FALSE,,1,2019,2025
455,EPU,7340301,Kế toán,FALSE,,2,2019,2025
455,EPU,7340301_CLC,Kế toán,FALSE,,1,2019,2019
455,EPU,7520107,Kỹ thuật Robot,FALSE,,1,2025,2025
455,EPU,7480106,Kỹ thuật máy tính,TRUE,,1,2025,2025
455,EPU,7520115,Kỹ thuật nhiệt,FALSE,,2,2019,2025
455,EPU,7510605,Logistics và Quản lý chuỗi cung ứng,FALSE,,3,2019,2025
455,EPU,7380107,Luật kinh tế,FALSE,,1,2025,2025
455,EPU,7340115,Marketing,FALSE,,1,2025,2025
455,EPU,7220201,Ngôn ngữ Anh,FALSE,,1,2025,2025
455,EPU,7510601,Quản lý công nghiệp,FALSE,,2,2019,2025
455,EPU,7510601_CLC,Quản lý công nghiệp,FALSE,,1,2019,2019
455,EPU,7510602,Quản lý năng lượng,FALSE,,2,2019,2025
455,EPU,7810103,Quản trị dịch vụ Du lịch và Lữ hành,FALSE,,3,2020,2025
455,EPU,7810201,Quản trị khách sạn,FALSE,,1,2025,2025
455,EPU,7340101,Quản trị kinh doanh,FALSE,,2,2019,2025
455,EPU,7340101_CLC,Quản trị kinh doanh,FALSE,,1,2019,2019
455,EPU,7340122,Thương mại Điện tử,FALSE,,3,2019,2025
455,EPU,7460117,Toán tin,FALSE,,1,2025,2025
455,EPU,7480107,Trí tuệ nhân tạo,TRUE,,1,2025,2025
455,EPU,7340201,Tài chính - Ngân hàng,FALSE,,3,2019,2025
455,EPU,7340201_CLC,Tài chính – Ngân hàng,FALSE,,1,2019,2019
336,HANU,7480201,Công nghệ Thông tin (dạy bằng tiếng Anh),TRUE,,3,2019,2025
336,HANU,7480201 CLC,Công nghệ thông tin (dạy bằng tiếng Anh) - CLC,TRUE,,1,2020,2023
336,HANU,7480201 TT,Công nghệ thông tin (dạy bằng tiếng Anh) - CTTT,TRUE,,2,2024,2025
336,HANU,7340205,Công nghệ tài chính (dạy bằng tiếng Anh),FALSE,,1,2024,2025
336,HANU,7340301,Kế toán (dạy bằng tiếng Anh),FALSE,,2,2019,2025
336,HANU,7340115,Marketing (dạy bằng tiếng Anh),FALSE,,2,2019,2025
336,HANU,7310111,Nghiên cứu phát triển (dạy bằng tiếng Anh),FALSE,,2,2020,2025
336,HANU,7220201,Ngôn ngữ Anh,FALSE,,1,2019,2025
336,HANU,7220201 TT,Ngôn ngữ Anh - CTTT,FALSE,,2,2024,2025
336,HANU,7220207,Ngôn ngữ Bồ Đào Nha,FALSE,,1,2019,2025
336,HANU,7220210,Ngôn ngữ Hàn Quốc,FALSE,,1,2019,2025
336,HANU,7220210 CLC,Ngôn ngữ Hàn Quốc - CLC,FALSE,,2,2019,2023
336,HANU,7220210 TT,Ngôn ngữ Hàn Quốc - CTTT,FALSE,,1,2025,2025
336,HANU,7220208,Ngôn ngữ Italia,FALSE,,1,2019,2025
336,HANU,7220208 CLC,Ngôn ngữ Italia - CLC,FALSE,,2,2019,2023
336,HANU,7220208 TT,Ngôn ngữ Italia - CTTT,FALSE,,2,2024,2025
336,HANU,7220202,Ngôn ngữ Nga,FALSE,,1,2019,2025
336,HANU,7220209,Ngôn ngữ Nhật,FALSE,,1,2019,2025
336,HANU,7220203,Ngôn ngữ Pháp,FALSE,,1,2019,2025
336,HANU,7220204,Ngôn ngữ Trung Quốc,FALSE,,1,2019,2025
336,HANU,7220204 TT,Ngôn ngữ Trung Quốc - CTTT,FALSE,,2,2024,2025
336,HANU,7220204 CLC,Ngôn ngữ Trung Quốc - Chất lượng cao (CLC),FALSE,,2,2019,2023
336,HANU,7220206,Ngôn ngữ Tây Ban Nha,FALSE,,1,2019,2025
336,HANU,7220205,Ngôn ngữ Đức,FALSE,,1,2019,2025
336,HANU,7810103,Quản trị Dịch vụ Du lịch và Lữ hành (dạy bằng tiếng Anh),FALSE,,3,2019,2025
336,HANU,7340101,Quản trị Kinh doanh (dạy bằng tiếng Anh),FALSE,,3,2019,2025
336,HANU,7810103 TT,Quản trị dịch vụ du lịch và lữ hành (dạy bằng tiếng Anh) - CTTT,FALSE,,2,2024,2025
336,HANU,7810103 CLC,Quản trị dịch vụ du lịch và lữ hành (dạy bằng tiếng Anh)-CLC,FALSE,,2,2020,2023
336,HANU,7310601,Quốc tế học (dạy bằng tiếng Anh),FALSE,,2,2019,2025
336,HANU,7320109,Truyền thông doanh nghiệp (dạy bằng tiếng Pháp),FALSE,,3,2019,2025
336,HANU,7320104,Truyền thông đa phương tiện (dạy bằng tiếng Anh),FALSE,,2,2019,2025
336,HANU,7340201,Tài chính - Ngân hàng (dạy bằng tiếng Anh),FALSE,,3,2019,2025
375,HUMG,7850202,"An toàn, Vệ sinh lao động",FALSE,,2,2022,2025
375,HUMG,7510401_V,Công nghệ kỹ thuật hoá học,FALSE,,1,2019,2019
375,HUMG,7510401_TT,Công nghệ kỹ thuật hoá học – CTTT,FALSE,,1,2019,2019
375,HUMG,7510401,Công nghệ kỹ thuật hóa học,FALSE,,2,2019,2025
375,HUMG,7510301,"Công nghệ kỹ thuật điện, điện tử",FALSE,,2,2022,2025
375,HUMG,7520606,Công nghệ số trong thăm dò và khai thác tài nguyên thiên nhiên,FALSE,,3,2022,2025
375,HUMG,7480201,Công nghệ thông tin,TRUE,,1,2019,2025
375,HUMG,7480201_V,Công nghệ thông tin,TRUE,,1,2019,2019
375,HUMG,7480201_CLC,"Công nghệ thông tin (chất lượng
cao)",TRUE,,2,2021,2022
375,HUMG,7810105,Du lịch địa chất,FALSE,,1,2021,2025
375,HUMG,7720203,Hoá dược,FALSE,,2,2022,2025
375,HUMG,7480109,Khoa học dữ liệu,TRUE,,1,2021,2021
375,HUMG,7460108,Khoa học dữ liệu,TRUE,,1,2022,2025
375,HUMG,7340301,Kế toán,FALSE,,1,2019,2025
375,HUMG,7340301_V,Kế toán,FALSE,,1,2019,2019
375,HUMG,7520107,Kỹ thuật Robot,FALSE,,1,2025,2025
375,HUMG,7520218,Kỹ thuật Robot và Trí tuệ nhân tạo,FALSE,excluded_by_veto:Robot,2,2022,2024
375,HUMG,7520103,Kỹ thuật cơ khí,FALSE,,1,2019,2025
375,HUMG,7520103_V,Kỹ thuật cơ khí,FALSE,,1,2019,2019
375,HUMG,7520116,Kỹ thuật cơ khí động lực,FALSE,,1,2021,2025
375,HUMG,7520114,Kỹ thuật cơ điện tử,FALSE,,1,2021,2025
375,HUMG,7520604,Kỹ thuật dầu khí,FALSE,,1,2019,2025
375,HUMG,7520604_V,Kỹ thuật dầu khí,FALSE,,1,2019,2019
375,HUMG,7520301,Kỹ thuật hoá học,FALSE,,4,2020,2025
375,HUMG,7520605,Kỹ thuật khí thiên nhiên,FALSE,,1,2022,2025
375,HUMG,7520121,Kỹ thuật không gian,FALSE,,1,2025,2025
375,HUMG,7520320,Kỹ thuật môi trường,FALSE,,1,2019,2025
375,HUMG,7520601,Kỹ thuật mỏ,FALSE,,2,2019,2025
375,HUMG,7520503,Kỹ thuật trắc địa - bản đồ,FALSE,,1,2019,2025
375,HUMG,7520607,Kỹ thuật tuyển khoáng,FALSE,,1,2019,2025
375,HUMG,7580212,Kỹ thuật tài nguyên nước,FALSE,,2,2022,2025
375,HUMG,7520309,Kỹ thuật vật liệu,FALSE,,1,2025,2025
375,HUMG,7580201,Kỹ thuật xây dựng,FALSE,,1,2019,2025
375,HUMG,7580201_V,Kỹ thuật xây dựng,FALSE,,1,2019,2019
375,HUMG,7580205,Kỹ thuật xây dựng công trình giao thông,FALSE,,1,2021,2025
375,HUMG,7520130,Kỹ thuật ô tô,FALSE,,2,2022,2025
375,HUMG,7520216,Kỹ thuật điều khiển và tự động hoá,FALSE,,2,2019,2025
375,HUMG,7520201,Kỹ thuật điện,FALSE,,1,2019,2025
375,HUMG,7520201_V,Kỹ thuật điện,FALSE,,1,2019,2019
375,HUMG,7520501,Kỹ thuật địa chất,FALSE,,1,2019,2025
375,HUMG,7520502,Kỹ thuật địa vật lý,FALSE,,2,2019,2025
375,HUMG,7220201,Ngôn ngữ Anh,FALSE,,1,2025,2025
375,HUMG,7220204,Ngôn ngữ Trung Quốc,FALSE,,1,2025,2025
375,HUMG,7510601,Quản lý công nghiệp,FALSE,,1,2021,2025
