abbr,canonical_major_id,year,has_thpt,has_base
EPU,Cong nghe thong tin,2019,True,True
EPU,Cong nghe thong tin,2020,True,True
EPU,Cong nghe thong tin,2021,True,True
EPU,Cong nghe thong tin,2022,True,True
EPU,Cong nghe thong tin,2023,True,True
EPU,Cong nghe thong tin,2024,True,True
EPU,Cong nghe thong tin,2025,True,True
EPU,Khoa hoc du lieu,2025,True,True
EPU,Ky thuat may tinh,2025,True,True
EPU,Tri tue nhan tao,2025,True,True
HANU,Cong nghe thong tin,2019,True,False
HANU,Cong nghe thong tin,2020,True,False
HANU,Cong nghe thong tin,2021,True,False
HANU,Cong nghe thong tin,2022,True,False
HANU,Cong nghe thong tin,2023,True,False
HANU,Cong nghe thong tin,2024,True,False
HANU,Cong nghe thong tin,2025,True,False
HUMG,Cong nghe thong tin,2019,True,True
HUMG,Cong nghe thong tin,2020,True,True
HUMG,Cong nghe thong tin,2021,True,True
HUMG,Cong nghe thong tin,2022,True,True
HUMG,Cong nghe thong tin,2023,True,True
HUMG,Cong nghe thong tin,2024,True,True
HUMG,Cong nghe thong tin,2025,True,True
HUMG,Khoa hoc du lieu,2021,True,True
HUMG,Khoa hoc du lieu,2022,True,True
HUMG,Khoa hoc du lieu,2023,True,True
HUMG,Khoa hoc du lieu,2024,True,True
HUMG,Khoa hoc du lieu,2025,True,True
HUS,Khoa hoc du lieu,2020,True,True
HUS,Khoa hoc du lieu,2021,True,True
HUS,Khoa hoc du lieu,2022,True,True
HUS,Khoa hoc du lieu,2023,True,True
HUS,Khoa hoc du lieu,2024,True,True
HUS,Khoa hoc du lieu,2025,True,True
HUS,Khoa hoc may tinh,2019,True,True
HUS,Khoa hoc may tinh,2020,True,True
HUS,Khoa hoc may tinh,2021,True,False
HUS,Khoa hoc may tinh,2022,True,True
HUS,Khoa hoc may tinh,2023,True,True
HUS,Khoa hoc may tinh,2024,True,True
HUS,Khoa hoc may tinh,2025,True,True
HUST,An toan thong tin / An ninh mang,2021,True,False
HUST,An toan thong tin / An ninh mang,2022,False,False
HUST,An toan thong tin / An ninh mang,2023,True,False
HUST,An toan thong tin / An ninh mang,2024,True,False
HUST,An toan thong tin / An ninh mang,2025,True,False
HUST,Cong nghe thong tin,2019,True,False
HUST,Cong nghe thong tin,2020,True,False
HUST,Cong nghe thong tin,2021,True,False
HUST,Cong nghe thong tin,2022,True,False
HUST,Cong nghe thong tin,2023,True,False
HUST,Cong nghe thong tin,2024,True,False
HUST,Cong nghe thong tin,2025,True,False
HUST,He thong thong tin,2019,True,False
HUST,Khoa hoc may tinh,2019,True,True
HUST,Khoa hoc may tinh,2020,True,True
HUST,Khoa hoc may tinh,2021,True,True
HUST,Khoa hoc may tinh,2022,True,False
HUST,Khoa hoc may tinh,2023,True,True
HUST,Khoa hoc may tinh,2024,True,True
HUST,Khoa hoc may tinh,2025,True,True
HUST,Ky thuat may tinh,2019,True,True
HUST,Ky thuat may tinh,2020,True,True
HUST,Ky thuat may tinh,2021,True,True
HUST,Ky thuat may tinh,2022,True,True
HUST,Ky thuat may tinh,2023,True,True
HUST,Ky thuat may tinh,2024,True,True
HUST,Ky thuat may tinh,2025,True,True
HUST,TTNT & Khoa hoc du lieu,2019,True,False
HUST,TTNT & Khoa hoc du lieu,2020,True,False
HUST,TTNT & Khoa hoc du lieu,2021,True,False
HUST,TTNT & Khoa hoc du lieu,2022,False,False
HUST,TTNT & Khoa hoc du lieu,2023,True,False
